addressRegion,latitude,longitude,price,property-beds,property-baths,property-sqft,Acreage,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Type,Roof,Sewer,Square Footage,Subdivision,Type,Parking,Flooring,Parking Features,Fireplace Features,MLS,has_fireplace,has_garage,dist_to_toronto_km,region_median_price
0,53.470318,-113.655878,1250000.0,2.0,3.0,,0.6,102,1.0,227,227,786,281,285,1.0,8,10,38,1415.0,1115,8,696,1576,696,494,E4421721,1,1,2710.6512765291845,459700.0
1,50.6077957,-118.7278137,1195000.0,5.0,5.0,3681.0,0.35,83,1.0,523,523,380,155,389,1.0,8,22,21,3681.0,1115,8,371,552,371,243,10331680,1,1,3032.5985326363266,749945.0
1,49.8439865,-119.4901047,685000.0,2.0,2.0,690.0,0.6,382,0.0,2226,2226,1402,281,294,0.0,1,112,21,690.0,1115,1,1224,1576,1224,494,10335501,1,1,3089.463684198041,749945.0
1,49.9867512,-119.4436974,1449900.0,4.0,4.0,4007.0,0.12,83,0.0,1082,1082,378,155,294,0.0,8,48,21,4007.0,1115,8,369,657,369,141,10335363,1,1,3085.4098239531695,749945.0
1,49.9132643,-119.4523249,878900.0,3.0,2.0,1658.0,0.16,26,0.0,1106,1106,311,155,353,0.0,8,65,21,1658.0,1115,8,302,97,302,193,10335569,1,1,3086.3933693528556,749945.0
0,51.1317644,-114.1694824,799000.0,4.0,4.0,,0.18,54,1.0,996,996,730,95,263,1.0,8,5,38,1415.0,896,8,640,55,640,135,A2194912,1,1,2714.5139223208694,459700.0
0,51.1119938,-114.0789742,348000.0,2.0,2.0,840.0,0.6,382,1.0,633,633,1069,95,1,1.0,1,112,38,840.0,936,1,951,658,951,135,A2194752,1,1,2708.0584998420427,459700.0
0,50.952985,-114.0867304,249989.0,2.0,1.0,813.0,0.6,382,1.0,939,939,301,153,126,1.0,1,112,38,813.0,1455,1,292,146,292,238,A2194928,1,0,2707.4097749013367,459700.0
1,49.8961202,-119.4343345,1399000.0,5.0,4.0,3968.0,0.21,83,1.0,1082,1082,311,155,353,1.0,8,22,21,3968.0,1115,8,302,562,302,234,10335599,1,1,3085.194687625928,749945.0
1,49.2156531,-123.1163426,928000.0,2.0,2.0,884.0,0.6,382,1.0,2226,2226,532,0,362,1.0,1,112,38,884.0,1059,1,472,1576,472,0,R2967150,1,1,3355.8981493053952,749945.0
1,52.9706562,-122.463147,379900.0,4.0,2.0,2054.0,0.86,161,1.0,2226,2226,479,155,20,1.0,8,112,38,2054.0,1115,8,419,1576,419,494,R2966927,1,0,3289.4273533828987,749945.0
1,49.7754741,-124.4411223,1595000.0,4.0,2.0,3228.0,0.5,382,1.0,2226,2226,958,155,217,1.0,8,112,38,3228.0,1115,8,848,1576,848,268,18694,1,1,3444.16288303281,749945.0
1,49.2156531,-123.1163426,918000.0,2.0,2.0,815.0,0.6,382,1.0,2226,2226,1017,0,362,1.0,1,112,38,815.0,1059,1,907,1576,907,0,R2967149,1,1,3355.8981493053952,749945.0
1,56.2481153,-120.8267062,159000.0,2.0,1.0,1520.0,0.6,382,1.0,1131,1131,1178,281,328,1.0,2,112,38,1520.0,1115,2,1046,1576,1046,494,R2967112,1,0,3211.549568729772,749945.0
1,50.051504,-119.40825,2189000.0,3.0,3.0,2405.0,0.2,382,1.0,1162,1162,1027,155,294,1.0,8,22,21,2405.0,1115,8,2159,562,2159,193,10335509,1,0,3082.574690968269,749945.0
1,50.827083,-118.979282,230000.0,3.0,2.0,1632.0,0.6,382,0.0,1131,1131,1304,155,353,0.0,8,22,21,1632.0,1115,8,1161,499,1161,120,10335457,1,0,3050.017880687401,749945.0
1,50.8837117,-119.4912486,250000.0,2.0,1.0,840.0,0.6,382,0.0,2226,2226,891,155,563,0.0,8,59,21,840.0,1115,8,2159,1576,2159,99,10332587,1,0,3085.8768717290623,749945.0
